GrLivAreaT,OverallQualT,FinBsmtCode,UnFinBsmtCode,GarageCode,1stFlrSFT,2ndFlrCode,GarageCars,Fireplaces,LotAreaT,YearBuiltT,ExterQualCode,KitchenQualCode,YearRemodAddT,BathTot,MSZoningCode,CentralAirCode,PorchCode,HeatingQCCode,PavedDriveCode,OverallCondT,SaleConditionCode,MSVnrCode,BldgTypeCode,NeighborhoodCode,SalePriceT
7.542325449262039,4.486345942929873,1,0,1,5.369675383403356,1,2,0,10.484298916867633,7.190290505203273e+70,4,4,2.26114007366036e+130,2.5,1,1,1,5,3,2.2826704976907357,1,1,1,2,7.910829523585737
7.230656068736455,3.841730900535225,1,0,1,5.607285526146699,0,2,1,10.655009663055226,5.343976199385791e+70,3,3,1.314515294958122e+130,2.0,1,1,0,5,3,3.2884448254358487,1,0,1,2,7.856833043382674
7.586964795702223,4.486345942929873,1,0,1,5.414304783927631,1,2,1,10.868179354800533,7.034923530488289e+70,4,4,2.2164591236718975e+130,2.5,1,1,1,5,3,2.2826704976907357,1,1,1,2,7.937661369910975
7.546518805414491,4.486345942929873,1,0,1,5.441181983342662,1,3,1,10.64800958342705,2.6920408909103032e+70,3,4,1.1640766236035062e+130,1.0,1,1,1,4,3,2.2826704976907357,0,0,1,2,7.754179935083592
7.800137604057765,5.109622481434867,1,0,1,5.54834221657788,1,3,1,11.188857746768697,6.958446562683047e+70,4,4,2.1296647816370256e+130,2.5,1,1,1,5,3,2.2826704976907357,1,1,1,3,7.98063441644744
7.308857698917032,3.1712590920901276,1,0,1,5.324463791009062,1,2,0,11.174983937947161,6.44489869395798e+70,3,3,1.926921586291818e+130,1.5,1,1,1,5,3,2.2826704976907357,1,0,1,1,7.76264107716012
7.532676043606455,5.109622481434867,1,0,1,5.783190870720793,0,2,1,10.721002692060809,7.269196581796607e+70,4,4,2.3531519596740046e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,1,2,8.058442188254586
7.7483794091342535,4.486345942929873,1,0,1,5.527799923885997,1,2,2,10.76012604708915,5.169347546472028e+70,3,3,1.2370682788335748e+130,2.5,1,1,1,5,3,2.6499091367264223,1,1,1,2,7.8946849656904075
7.580043807330256,4.486345942929873,0,1,1,5.478978438084288,1,2,2,10.055781806423305,3.2292115906963434e+70,3,3,7.74223330151567e+129,2.0,0,1,1,4,3,2.2826704976907357,0,0,1,1,7.724187220106891
7.068161082000222,3.1712590920901276,1,0,1,5.5110417038937385,0,1,2,10.311104189067885,3.5347503806484383e+70,3,3,7.74223330151567e+129,1.0,1,1,1,5,3,2.6499091367264223,1,0,0,1,7.685445886185213
7.032337579469129,3.1712590920901276,1,0,1,5.489671182315777,0,1,0,10.86217781762537,4.72989448982118e+70,3,3,1.0516516001276103e+130,1.0,1,1,0,5,3,2.2826704976907357,1,0,1,1,7.72294815120879
7.857410819301418,5.714824144454206,1,0,1,5.56765427100462,1,3,2,10.946653106264444,7.348928557879467e+70,5,5,2.4005167914741425e+130,3.0,1,1,1,5,3,2.2826704976907357,0,1,1,3,8.102102672705655
6.897791810042465,3.1712590920901276,1,0,1,5.40891103970134,0,1,0,11.060108511764987,4.574481082303567e+70,3,3,9.893550430675034e+129,1.0,1,1,1,3,3,2.6499091367264223,1,0,1,1,7.7654190238326
7.403748277239108,4.486345942929873,0,1,1,5.708569155097181,0,3,1,10.794645845029025,7.429494659631955e+70,4,4,2.448810673005678e+130,2.0,1,1,1,5,3,2.2826704976907357,0,1,1,2,8.023043760926313
7.223317488082131,3.841730900535225,1,0,1,5.602963327431067,0,1,1,10.828082278110829,4.473592556178885e+70,3,3,9.498386213003271e+129,1.5,1,1,1,3,3,2.2826704976907357,1,1,1,1,7.799749594413466
6.8305004002009975,4.486345942929873,0,1,1,5.368223700096901,0,2,0,10.055781806423305,3.1568614737996336e+70,3,3,2.1726394206434652e+130,1.0,0,1,1,5,3,3.2884448254358487,1,0,1,1,7.730625600345834
6.9962418356216505,3.841730900535225,1,0,1,5.468082129805542,0,2,1,10.86710098614489,5.00017255624825e+70,3,3,1.1640766236035062e+130,1.0,1,1,0,5,3,2.9826464867881346,1,1,1,1,7.779003954064665
7.2579166656567295,2.468309071083941,0,0,1,5.623321103359926,0,2,0,10.812088237331507,4.8362888290112975e+70,3,3,1.0952902284681382e+130,2.0,1,1,0,3,3,2.2826704976907357,1,0,0,1,7.574659105418827
7.1027786027583115,3.1712590920901276,1,0,1,5.5316402179635045,0,2,0,11.134005019782737,7.269196581796607e+70,3,4,2.3066987551344394e+130,1.5,1,1,1,5,3,2.2826704976907357,1,0,1,2,7.804758181148123
7.291390304413463,3.1712590920901276,1,0,1,5.642968194107231,0,1,0,10.335965236607407,4.374829481755907e+70,3,3,1.0516516001276103e+130,1.0,1,1,0,3,3,2.6499091367264223,0,0,1,1,7.751316069131163
7.880150359798771,5.109622481434867,0,1,1,5.55520270856615,1,3,1,11.184566752430715,7.348928557879467e+70,4,4,2.4005167914741425e+130,3.5,1,1,1,5,3,2.2826704976907357,0,1,1,3,8.080154051548755
7.097243506238532,4.486345942929873,0,1,1,5.528350126602554,0,1,1,10.316291050645285,3.192840977143235e+70,3,4,7.74223330151567e+129,1.0,0,1,1,5,1,2.9826464867881346,1,0,1,1,7.75246427119114
7.592125194864557,5.109622481434867,0,1,1,5.81736574311292,0,2,1,10.674699119123467,7.112202179000827e+70,4,4,2.2164591236718975e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,1,2,7.9486915638886595
7.051856449034635,3.1712590920901276,1,0,1,5.501322040910154,0,2,1,9.568701048988439,5.343976199385791e+70,3,3,1.314515294958122e+130,1.0,0,1,1,3,3,2.9826464867881346,1,0,0,1,7.724187220106891
7.051856449034635,3.1712590920901276,1,0,1,5.501322040910154,0,1,1,10.451682578039309,4.8903386540066427e+70,3,4,2.1726394206434652e+130,1.0,1,1,1,5,3,3.2884448254358487,1,0,1,1,7.792106341192438
7.474084024628806,5.109622481434867,0,1,1,5.749364763146681,0,3,1,11.185998543141219,7.510903191006062e+70,4,4,2.448810673005678e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,1,3,7.99012879984245
6.884226320011774,3.1712590920901276,1,0,1,5.400724700256428,0,2,0,10.271104191538809,4.045287845101212e+70,3,4,2.1296647816370256e+130,1.0,1,1,1,3,3,2.9826464867881346,1,0,1,1,7.739040499555629
7.538717506824477,5.109622481434867,1,0,1,5.786670564863036,0,3,1,10.89522308091835,7.510903191006062e+70,4,4,2.498051350774359e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,1,3,8.057215833436564
7.474084024628806,3.1712590920901276,1,0,1,5.749364763146681,0,1,2,11.372534132266924,4.326231621047812e+70,3,3,2.0056538310524433e+130,1.0,1,1,1,3,3,2.6499091367264223,1,0,1,1,7.90896733037275
6.322949716192743,2.468309071083941,0,1,1,5.054859069959984,0,1,0,10.099135217026166,3.086059811528064e+70,3,2,7.74223330151567e+129,1.0,0,0,1,2,3,2.6499091367264223,1,0,1,1,7.460636563996067
7.274400306596657,2.468309071083941,0,1,1,5.19619431216397,1,1,0,10.492176772501322,2.8499975662795934e+70,3,3,7.74223330151567e+129,1.0,0,0,1,3,1,1.8691435290791347,1,0,1,1,7.228750687867283
7.202653562327286,3.1712590920901276,0,1,1,5.590780574958336,0,1,0,10.499072266242754,4.782809351928464e+70,3,4,2.4005167914741425e+130,1.5,1,1,1,4,3,2.6499091367264223,1,0,1,1,7.779936438064981
7.2076508840284506,5.109622481434867,0,1,1,5.593728496848938,0,2,0,10.843894454001392,7.510903191006062e+70,4,4,2.448810673005678e+130,2.0,1,1,1,5,3,2.2826704976907357,1,0,1,2,7.853365794060801
7.5363051719783964,3.1712590920901276,1,0,1,5.785281317519115,0,2,1,10.781960547497032,4.423948023948185e+70,3,4,9.30661773170893e+129,1.5,1,1,1,4,3,2.2826704976907357,1,0,1,1,7.820579278150487
7.448760968219748,5.714824144454206,1,0,1,5.734700965783188,0,2,1,10.291795171081032,7.348928557879467e+70,5,5,2.3531519596740046e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,0,3,8.020324345047909
7.912508349688448,5.109622481434867,0,1,1,5.541397816440811,1,3,1,11.106307242451392,7.269196581796607e+70,4,4,2.3531519596740046e+130,3.5,1,1,1,5,3,2.2826704976907357,1,1,1,3,8.060882037273752
7.087017809137878,3.1712590920901276,0,1,1,5.522268449155383,0,2,0,10.820542130531537,6.515981591847801e+70,3,3,1.926921586291818e+130,1.5,1,1,1,5,3,2.2826704976907357,1,0,1,2,7.768176262306444
7.258707616977209,3.1712590920901276,1,0,1,5.623785894993862,0,2,1,10.49719509233571,4.183509803100718e+70,3,3,1.7430418232814636e+130,1.0,1,1,0,4,3,2.6499091367264223,1,1,1,1,7.789522884981542
7.048952133008859,3.1712590920901276,1,0,1,5.499589490220343,0,1,0,10.39823908555608,4.136942593986777e+70,3,4,2.448810673005678e+130,1.0,1,1,1,3,3,2.9826464867881346,0,0,1,1,7.653237820181018
7.137159010766785,2.468309071083941,0,0,0,5.5520466289860355,0,0,0,10.038397479041887,4.23057696393332e+70,3,2,8.576593099631049e+129,2.0,1,0,0,3,1,2.2826704976907357,0,0,0,1,7.536045648019811
7.2798366996938055,3.841730900535225,1,0,1,5.636192271115094,0,2,1,10.516779200465669,4.72989448982118e+70,3,3,1.0516516001276103e+130,2.0,1,1,1,5,3,2.2826704976907357,0,1,1,1,7.807237080298769
7.282930365057072,3.1712590920901276,1,0,1,5.638007189699943,0,1,2,11.420499585598108,4.423948023948185e+70,3,3,9.30661773170893e+129,1.5,1,1,1,4,2,2.6499091367264223,1,0,1,2,7.8311450364685955
6.8658558992947105,3.1712590920901276,1,0,1,5.389625910072138,0,2,0,10.595078510883146,5.773599647720513e+70,3,4,1.514066218275756e+130,1.0,1,1,0,4,3,2.9826464867881346,1,0,1,2,7.7654190238326
6.926583543312273,3.1712590920901276,1,0,1,5.426259303586887,0,1,0,10.597992015320022,5.285150468139282e+70,3,3,1.4251679936199694e+130,1.0,1,1,0,3,3,2.6499091367264223,1,0,1,2,7.72526803778696
7.135377880686991,3.1712590920901276,1,0,1,5.5509906899130845,0,1,0,10.402102071507812,4.423948023948185e+70,3,3,9.30661773170893e+129,1.0,1,1,0,5,3,2.6499091367264223,1,0,1,1,7.757021844718299
7.567233292296475,5.714824144454206,1,0,1,5.803074275242095,0,2,1,10.353104186929846,7.348928557879467e+70,5,5,2.3531519596740046e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,0,3,8.073886977868366
7.77697622949862,4.486345942929873,1,0,1,5.718071487523216,1,2,1,11.044785656131188,7.190290505203273e+70,4,4,2.26114007366036e+130,1.5,1,1,1,5,3,2.2826704976907357,0,0,1,1,7.9645200686709705
7.509389774985143,5.109622481434867,1,0,1,5.769764485173982,0,3,0,10.849611096562453,7.429494659631955e+70,4,4,2.4005167914741425e+130,2.0,0,1,1,5,3,2.2826704976907357,1,0,1,2,7.980175892096388
7.37449378486539,2.468309071083941,0,1,0,5.275446420782704,1,0,0,9.638585682274616,2.8499975662795934e+70,3,3,2.498051350774359e+130,2.0,0,1,1,4,1,2.2826704976907357,0,0,0,1,7.667893365334923
