GrLivAreaT,OverallQualT,FinBsmtCode,UnFinBsmtCode,GarageCode,1stFlrSFT,2ndFlrCode,GarageCars,Fireplaces,LotAreaT,YearBuiltT,ExterQualCode,KitchenQualCode,YearRemodAddT,BathTot,MSZoningCode,CentralAirCode,PorchCode,HeatingQCCode,PavedDriveCode,OverallCondT,SaleConditionCode,MSVnrCode,BldgTypeCode,NeighborhoodCode,SalePriceT,NeighbKitchenInt,NeighbBathInt,Neighb1stFlrSFInt,NeighbMSVnrInt,NeighbExtQuInt,NeighbPorchInt
7.542325449262039,4.486345942929873,1,0,1,5.369675383403356,1,2,0,10.484298916867633,7.190290505203273e+70,4,4,2.26114007366036e+130,2.5,1,1,1,5,3,2.2826704976907357,1,1,1,2,7.910829523585737,8.0,5.0,10.739350766806712,2.0,8.0,2.0
7.230656068736455,3.841730900535225,1,0,1,5.607285526146699,0,2,1,10.655009663055226,5.343976199385791e+70,3,3,1.314515294958122e+130,2.0,1,1,0,5,3,3.2884448254358487,1,0,1,2,7.856833043382674,6.0,4.0,11.214571052293397,0.0,6.0,0.0
7.586964795702223,4.486345942929873,1,0,1,5.414304783927631,1,2,1,10.868179354800533,7.034923530488289e+70,4,4,2.2164591236718975e+130,2.5,1,1,1,5,3,2.2826704976907357,1,1,1,2,7.937661369910975,8.0,5.0,10.828609567855262,2.0,8.0,2.0
7.546518805414491,4.486345942929873,1,0,1,5.441181983342662,1,3,1,10.64800958342705,2.6920408909103032e+70,3,4,1.1640766236035062e+130,1.0,1,1,1,4,3,2.2826704976907357,0,0,1,2,7.754179935083592,8.0,2.0,10.882363966685324,0.0,6.0,2.0
7.800137604057765,5.109622481434867,1,0,1,5.54834221657788,1,3,1,11.188857746768697,6.958446562683047e+70,4,4,2.1296647816370256e+130,2.5,1,1,1,5,3,2.2826704976907357,1,1,1,3,7.98063441644744,12.0,7.5,16.64502664973364,3.0,12.0,3.0
7.308857698917032,3.1712590920901276,1,0,1,5.324463791009062,1,2,0,11.174983937947161,6.44489869395798e+70,3,3,1.926921586291818e+130,1.5,1,1,1,5,3,2.2826704976907357,1,0,1,1,7.76264107716012,3.0,1.5,5.324463791009062,0.0,3.0,1.0
7.532676043606455,5.109622481434867,1,0,1,5.783190870720793,0,2,1,10.721002692060809,7.269196581796607e+70,4,4,2.3531519596740046e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,1,2,8.058442188254586,8.0,4.0,11.566381741441585,2.0,8.0,2.0
7.7483794091342535,4.486345942929873,1,0,1,5.527799923885997,1,2,2,10.76012604708915,5.169347546472028e+70,3,3,1.2370682788335748e+130,2.5,1,1,1,5,3,2.6499091367264223,1,1,1,2,7.8946849656904075,6.0,5.0,11.055599847771994,2.0,6.0,2.0
7.580043807330256,4.486345942929873,0,1,1,5.478978438084288,1,2,2,10.055781806423305,3.2292115906963434e+70,3,3,7.74223330151567e+129,2.0,0,1,1,4,3,2.2826704976907357,0,0,1,1,7.724187220106891,3.0,2.0,5.478978438084288,0.0,3.0,1.0
7.068161082000222,3.1712590920901276,1,0,1,5.5110417038937385,0,1,2,10.311104189067885,3.5347503806484383e+70,3,3,7.74223330151567e+129,1.0,1,1,1,5,3,2.6499091367264223,1,0,0,1,7.685445886185213,3.0,1.0,5.5110417038937385,0.0,3.0,1.0
7.032337579469129,3.1712590920901276,1,0,1,5.489671182315777,0,1,0,10.86217781762537,4.72989448982118e+70,3,3,1.0516516001276103e+130,1.0,1,1,0,5,3,2.2826704976907357,1,0,1,1,7.72294815120879,3.0,1.0,5.489671182315777,0.0,3.0,0.0
7.857410819301418,5.714824144454206,1,0,1,5.56765427100462,1,3,2,10.946653106264444,7.348928557879467e+70,5,5,2.4005167914741425e+130,3.0,1,1,1,5,3,2.2826704976907357,0,1,1,3,8.102102672705655,15.0,9.0,16.70296281301386,3.0,15.0,3.0
6.897791810042465,3.1712590920901276,1,0,1,5.40891103970134,0,1,0,11.060108511764987,4.574481082303567e+70,3,3,9.893550430675034e+129,1.0,1,1,1,3,3,2.6499091367264223,1,0,1,1,7.7654190238326,3.0,1.0,5.40891103970134,0.0,3.0,1.0
7.403748277239108,4.486345942929873,0,1,1,5.708569155097181,0,3,1,10.794645845029025,7.429494659631955e+70,4,4,2.448810673005678e+130,2.0,1,1,1,5,3,2.2826704976907357,0,1,1,2,8.023043760926313,8.0,4.0,11.417138310194362,2.0,8.0,2.0
7.223317488082131,3.841730900535225,1,0,1,5.602963327431067,0,1,1,10.828082278110829,4.473592556178885e+70,3,3,9.498386213003271e+129,1.5,1,1,1,3,3,2.2826704976907357,1,1,1,1,7.799749594413466,3.0,1.5,5.602963327431067,1.0,3.0,1.0
6.8305004002009975,4.486345942929873,0,1,1,5.368223700096901,0,2,0,10.055781806423305,3.1568614737996336e+70,3,3,2.1726394206434652e+130,1.0,0,1,1,5,3,3.2884448254358487,1,0,1,1,7.730625600345834,3.0,1.0,5.368223700096901,0.0,3.0,1.0
6.9962418356216505,3.841730900535225,1,0,1,5.468082129805542,0,2,1,10.86710098614489,5.00017255624825e+70,3,3,1.1640766236035062e+130,1.0,1,1,0,5,3,2.9826464867881346,1,1,1,1,7.779003954064665,3.0,1.0,5.468082129805542,1.0,3.0,0.0
7.2579166656567295,2.468309071083941,0,0,1,5.623321103359926,0,2,0,10.812088237331507,4.8362888290112975e+70,3,3,1.0952902284681382e+130,2.0,1,1,0,3,3,2.2826704976907357,1,0,0,1,7.574659105418827,3.0,2.0,5.623321103359926,0.0,3.0,0.0
7.1027786027583115,3.1712590920901276,1,0,1,5.5316402179635045,0,2,0,11.134005019782737,7.269196581796607e+70,3,4,2.3066987551344394e+130,1.5,1,1,1,5,3,2.2826704976907357,1,0,1,2,7.804758181148123,8.0,3.0,11.063280435927009,0.0,6.0,2.0
7.291390304413463,3.1712590920901276,1,0,1,5.642968194107231,0,1,0,10.335965236607407,4.374829481755907e+70,3,3,1.0516516001276103e+130,1.0,1,1,0,3,3,2.6499091367264223,0,0,1,1,7.751316069131163,3.0,1.0,5.642968194107231,0.0,3.0,0.0
7.880150359798771,5.109622481434867,0,1,1,5.55520270856615,1,3,1,11.184566752430715,7.348928557879467e+70,4,4,2.4005167914741425e+130,3.5,1,1,1,5,3,2.2826704976907357,0,1,1,3,8.080154051548755,12.0,10.5,16.66560812569845,3.0,12.0,3.0
7.097243506238532,4.486345942929873,0,1,1,5.528350126602554,0,1,1,10.316291050645285,3.192840977143235e+70,3,4,7.74223330151567e+129,1.0,0,1,1,5,1,2.9826464867881346,1,0,1,1,7.75246427119114,4.0,1.0,5.528350126602554,0.0,3.0,1.0
7.592125194864557,5.109622481434867,0,1,1,5.81736574311292,0,2,1,10.674699119123467,7.112202179000827e+70,4,4,2.2164591236718975e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,1,2,7.9486915638886595,8.0,4.0,11.63473148622584,2.0,8.0,2.0
7.051856449034635,3.1712590920901276,1,0,1,5.501322040910154,0,2,1,9.568701048988439,5.343976199385791e+70,3,3,1.314515294958122e+130,1.0,0,1,1,3,3,2.9826464867881346,1,0,0,1,7.724187220106891,3.0,1.0,5.501322040910154,0.0,3.0,1.0
7.051856449034635,3.1712590920901276,1,0,1,5.501322040910154,0,1,1,10.451682578039309,4.8903386540066427e+70,3,4,2.1726394206434652e+130,1.0,1,1,1,5,3,3.2884448254358487,1,0,1,1,7.792106341192438,4.0,1.0,5.501322040910154,0.0,3.0,1.0
7.474084024628806,5.109622481434867,0,1,1,5.749364763146681,0,3,1,11.185998543141219,7.510903191006062e+70,4,4,2.448810673005678e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,1,3,7.99012879984245,12.0,6.0,17.248094289440044,3.0,12.0,3.0
6.884226320011774,3.1712590920901276,1,0,1,5.400724700256428,0,2,0,10.271104191538809,4.045287845101212e+70,3,4,2.1296647816370256e+130,1.0,1,1,1,3,3,2.9826464867881346,1,0,1,1,7.739040499555629,4.0,1.0,5.400724700256428,0.0,3.0,1.0
7.538717506824477,5.109622481434867,1,0,1,5.786670564863036,0,3,1,10.89522308091835,7.510903191006062e+70,4,4,2.498051350774359e+130,2.0,1,1,1,5,3,2.2826704976907357,1,1,1,3,8.057215833436564,12.0,6.0,17.360011694589108,3.0,12.0,3.0
7.474084024628806,3.1712590920901276,1,0,1,5.749364763146681,0,1,2,11.372534132266924,4.326231621047812e+70,3,3,2.0056538310524433e+130,1.0,1,1,1,3,3,2.6499091367264223,1,0,1,1,7.90896733037275,3.0,1.0,5.749364763146681,0.0,3.0,1.0
6.322949716192743,2.468309071083941,0,1,1,5.054859069959984,0,1,0,10.099135217026166,3.086059811528064e+70,3,2,7.74223330151567e+129,1.0,0,0,1,2,3,2.6499091367264223,1,0,1,1,7.460636563996067,2.0,1.0,5.054859069959984,0.0,3.0,1.0
7.274400306596657,2.468309071083941,0,1,1,5.19619431216397,1,1,0,10.492176772501322,2.8499975662795934e+70,3,3,7.74223330151567e+129,1.0,0,0,1,3,1,1.8691435290791347,1,0,1,1,7.228750687867283,3.0,1.0,5.19619431216397,0.0,3.0,1.0
